,Date,Vander_Score,Buy,Sell
332,2015-11-29,0.6369,0,1
333,2015-11-30,0.08710807692307691,1,0
334,2015-12-01,0.0,0,1
335,2015-12-02,0.0,0,1
336,2015-12-03,0.1393822368421053,0,1
337,2015-12-04,0.052723721881390594,1,0
338,2015-12-05,0.0,1,0
339,2015-12-06,-0.6249,1,0
340,2015-12-07,-0.08563709677419354,0,1
341,2015-12-08,0.0,1,0
342,2015-12-09,0.4019,0,1
343,2015-12-10,0.09203374485596709,1,0
344,2015-12-11,0.0,0,1
345,2015-12-12,0.0,0,1
346,2015-12-13,0.16686896551724137,0,1
347,2015-12-14,0.0,1,0
348,2015-12-15,0.4404,0,1
349,2015-12-16,0.0,1,0
350,2015-12-17,0.0,0,1
351,2015-12-18,0.008681012658227847,0,1
352,2015-12-19,0.0,0,1
353,2015-12-20,0.0,0,1
354,2015-12-21,-0.008254458161865569,1,0
355,2015-12-22,0.012183390607101947,0,1
356,2015-12-23,0.030536546184738958,1,0
357,2015-12-24,0.5256,0,1
358,2015-12-25,0.2142078512396694,0,1
359,2015-12-26,0.0,0,1
360,2015-12-27,0.0,0,1
361,2015-12-28,0.0,0,1
362,2015-12-29,0.0,1,0
363,2015-12-30,0.0,0,1
364,2015-12-31,0.0,0,1
365,2016-01-01,0.08347258382642997,0,1
366,2016-01-02,0.0,0,1
367,2016-01-03,0.5023,0,1
368,2016-01-04,-0.004322818791946306,1,0
369,2016-01-05,0.2535527061855671,0,1
370,2016-01-06,0.011049434359379112,1,0
371,2016-01-07,0.004702438271604938,0,1
372,2016-01-08,-0.009681643472498341,0,1
373,2016-01-09,0.4063,0,1
374,2016-01-10,0.0,0,1
375,2016-01-11,-0.054218881118881124,0,1
376,2016-01-12,-0.3134542502004811,0,1
377,2016-01-13,0.04541245421245422,0,1
378,2016-01-14,-0.29972950819672134,1,0
379,2016-01-15,-0.4215,1,0
380,2016-01-16,0.0,1,0
381,2016-01-17,0.0,1,0
382,2016-01-18,0.0,1,0
383,2016-01-19,0.0,0,1
384,2016-01-20,0.0,1,0
385,2016-01-21,0.0,0,1
386,2016-01-22,0.0,1,0
387,2016-01-23,-0.08025981308411215,1,0
388,2016-01-24,-0.07814423076923077,1,0
389,2016-01-25,0.050369122383252814,0,1
390,2016-01-26,0.005106045717984173,1,0
391,2016-01-27,0.0026675505449376084,0,1
392,2016-01-28,-0.0016509024979854958,1,0
393,2016-01-29,0.0798319850831899,1,0
394,2016-01-30,0.0059664902998236334,1,0
395,2016-01-31,-0.07563244444444445,1,0
396,2016-02-01,0.19065755868544598,0,1
397,2016-02-02,0.05833734627831716,0,1
398,2016-02-03,0.12592499999999998,1,0
399,2016-02-04,0.3612,1,0
400,2016-02-05,0.07818621621621621,0,1
401,2016-02-06,0.0,0,1
402,2016-02-07,0.0,0,1
403,2016-02-08,0.13047460317460316,1,0
404,2016-02-09,0.0,1,0
405,2016-02-10,0.1441489795918367,0,1
406,2016-02-11,0.0,0,1
407,2016-02-12,0.0,0,1
408,2016-02-13,-0.1027,0,1
409,2016-02-14,0.0,0,1
410,2016-02-15,0.0,0,1
411,2016-02-16,0.015505146198830411,1,0
412,2016-02-17,0.015883410138248847,1,0
413,2016-02-18,0.09101102362204723,0,1
414,2016-02-19,-0.08700072463768115,1,0
415,2016-02-20,-0.2023,1,0
416,2016-02-21,0.296,1,0
417,2016-02-22,-0.008614063260340631,1,0
418,2016-02-23,-0.4019,0,1
419,2016-02-24,-0.08100608108108107,1,0
420,2016-02-25,0.07457399527186762,1,0
421,2016-02-26,0.0,0,1
422,2016-02-27,0.34,0,1
423,2016-02-28,0.0,0,1
424,2016-02-29,0.0,0,1
425,2016-03-01,-0.8338,1,0
426,2016-03-02,-0.5538,1,0
427,2016-03-03,0.0878139534883721,1,0
428,2016-03-04,0.0,1,0
429,2016-03-05,0.0,1,0
430,2016-03-06,-0.08225772357723576,1,0
431,2016-03-07,-0.05860704225352115,0,1
432,2016-03-08,0.27880245901639344,1,0
433,2016-03-09,0.0,0,1
434,2016-03-10,0.10880470588235294,0,1
435,2016-03-11,0.0,1,0
436,2016-03-12,0.05527167630057804,1,0
437,2016-03-13,0.0,1,0
438,2016-03-14,0.006374558303886926,1,0
439,2016-03-15,0.0,1,0
440,2016-03-16,0.0,1,0
441,2016-03-17,-0.13617865853658537,1,0
442,2016-03-18,0.0147,0,1
443,2016-03-19,0.4767,0,1
444,2016-03-20,0.0,0,1
445,2016-03-21,-0.001122028725314183,0,1
446,2016-03-22,0.08898928571428572,1,0
447,2016-03-23,0.054035153256704986,0,1
448,2016-03-24,0.0,1,0
449,2016-03-25,0.3385604395604396,1,0
450,2016-03-26,0.057365084745762726,1,0
451,2016-03-27,0.26381920903954803,1,0
452,2016-03-28,0.023694581280788173,0,1
453,2016-03-29,-0.1702324675324675,1,0
454,2016-03-30,0.0,1,0
455,2016-03-31,-0.296,0,1
456,2016-04-01,0.03526260748959778,1,0
457,2016-04-02,-0.00967463768115942,1,0
458,2016-04-03,0.0,1,0
459,2016-04-04,0.0,1,0
460,2016-04-05,0.0,1,0
461,2016-04-06,0.023047311827956992,1,0
462,2016-04-07,-0.25410722543352604,0,1
463,2016-04-08,0.504,0,1
464,2016-04-09,0.0,0,1
465,2016-04-10,-0.02971043890865956,0,1
466,2016-04-11,0.019081914893617023,1,0
467,2016-04-12,0.1779,1,0
468,2016-04-13,0.0,1,0
469,2016-04-14,0.020428571428571428,1,0
470,2016-04-15,0.03090801075268817,0,1
